basin,name,year,cyclone_of_the_year,num_of_track_entries,date,time,record_identifier,status_of_system,latitude,longitude,max_sustained_wind,central_pressure,34kt_NE,34kt_SE,34kt_SW,34kt_NW,50kt_NE,50kt_SE,50kt_SW,50kt_NW,64kt_NE,64kt_SE,64kt_SW,64kt_NW
EP,UNNAMED,1949,03,25,19490906,0600,,TS,20.7N,109.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490906,1200,,TS,21.2N,110.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490906,1800,,TS,22.0N,110.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490907,0000,,TS,22.9N,111.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490907,0600,,TS,23.8N,112.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490907,1200,,TS,24.8N,113.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490907,1800,,TS,25.5N,114.5W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490908,0000,,TS,26.2N,115.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490908,0600,,TS,27.6N,115.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490908,1200,,TS,28.6N,116.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490908,1800,,TS,28.4N,116.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490909,0000,,TS,28.2N,116.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490909,0600,,TS,28.1N,116.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,03,25,19490909,1200,,TS,28.0N,116.5W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,04,9,19490909,1200,,HU,19.3N,108.6W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,04,9,19490909,1800,,HU,20.2N,109.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,04,9,19490910,0000,,HU,21.2N,110.2W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,04,9,19490910,0600,,HU,21.8N,110.6W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,04,9,19490910,1200,,HU,22.5N,110.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,04,9,19490910,1800,,HU,23.2N,111.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,04,9,19490911,0000,,HU,23.9N,111.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,04,9,19490911,0600,,HU,24.3N,111.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,04,9,19490911,1200,,HU,24.5N,110.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,05,9,19490917,1200,,TS,15.4N,101.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,05,9,19490917,1800,,TS,15.8N,102.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,05,9,19490918,0000,,TS,16.5N,103.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,05,9,19490918,0600,,TS,17.7N,104.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,05,9,19490918,1200,,TS,18.7N,105.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,05,9,19490918,1800,,TS,19.0N,106.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,05,9,19490919,0000,,TS,19.3N,106.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,05,9,19490919,0600,,TS,19.7N,107.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,05,9,19490919,1200,,TS,20.1N,107.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,06,7,19490929,0000,,TD,16.1N,107.4W,25,,,,,,,,,,,,,,
EP,UNNAMED,1949,06,7,19490929,0600,,TS,17.0N,107.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,06,7,19490929,1200,,HU,17.9N,107.3W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,06,7,19490929,1800,,HU,18.6N,107.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1949,06,7,19490930,0000,,TS,18.8N,108.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,06,7,19490930,0600,,TS,18.2N,110.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1949,06,7,19490930,1200,,TD,16.7N,111.6W,25,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500614,1200,,HU,14.1N,98.2W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500614,1800,,HU,14.2N,98.5W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500615,0000,,HU,14.4N,98.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500615,0600,,HU,14.8N,99.5W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500615,1200,,HU,15.2N,99.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500615,1800,,HU,15.4N,100.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500616,0000,,HU,15.6N,100.1W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500616,0600,,HU,15.9N,100.2W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500616,1200,,HU,16.1N,100.3W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500616,1800,,HU,16.1N,100.6W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500617,0000,,HU,16.2N,101.1W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500617,0600,,HU,16.4N,101.6W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500617,1200,,HU,16.6N,102.1W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500617,1800,,HU,16.8N,102.8W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500618,0000,,HU,17.0N,103.6W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500618,0600,,HU,17.4N,105.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500618,1200,,HU,18.1N,106.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500618,1800,,HU,19.0N,106.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500619,0000,,HU,20.0N,106.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500619,0600,,HU,20.8N,106.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,01,21,19500619,1200,,HU,21.5N,106.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500703,1200,,HU,18.4N,105.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500703,1800,,HU,19.0N,106.3W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500704,0000,,HU,19.5N,106.7W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500704,0600,,HU,20.2N,107.2W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500704,1200,,HU,20.7N,107.8W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500704,1800,,HU,21.0N,108.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500705,0000,,HU,21.1N,109.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500705,0600,,HU,21.2N,109.7W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500705,1200,,HU,21.4N,110.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500705,1800,,HU,21.8N,111.2W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500706,0000,,HU,22.3N,112.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500706,0600,,HU,22.8N,112.8W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,02,13,19500706,1200,,HU,23.3N,113.6W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500709,1200,,HU,16.1N,108.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500709,1800,,HU,16.4N,108.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500710,0000,,HU,16.7N,108.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500710,0600,,HU,17.1N,109.7W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500710,1200,,HU,17.5N,110.5W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500710,1800,,HU,17.8N,111.2W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500711,0000,,HU,18.0N,112.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500711,0600,,HU,18.3N,113.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500711,1200,,HU,18.6N,114.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500711,1800,,HU,18.7N,114.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500712,0000,,HU,18.6N,115.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500712,0600,,HU,18.4N,117.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,03,13,19500712,1200,,HU,18.1N,118.0W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500812,0000,,TD,14.5N,144.5W,25,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500812,0600,,TD,14.9N,144.8W,25,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500812,1200,,TD,15.2N,145.2W,25,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500812,1800,,TD,15.5N,145.6W,25,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500813,0000,,TD,15.7N,145.8W,25,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500813,0600,,TS,15.9N,146.3W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500813,1200,,TS,16.3N,146.9W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500813,1800,,TS,16.6N,147.6W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500814,0000,,TS,16.8N,148.1W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500814,0600,,TS,17.5N,149.1W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500814,1200,,TS,18.3N,150.1W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500814,1800,,TS,19.3N,151.3W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500815,0000,,TS,20.1N,152.4W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500815,0600,,TS,20.7N,153.4W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500815,1200,,TS,21.4N,154.4W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500815,1800,,TS,22.3N,155.6W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500816,0000,,HU,23.0N,156.6W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500816,0600,,HU,23.7N,157.5W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500816,1200,,HU,24.3N,158.4W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500816,1800,,HU,24.7N,159.6W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500817,0000,,HU,24.7N,160.8W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500817,0600,,HU,24.5N,161.6W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500817,1200,,HU,24.0N,162.4W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500817,1800,,HU,23.6N,163.1W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500818,0000,,HU,23.3N,163.8W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500818,0600,,HU,22.8N,164.7W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500818,1200,,HU,22.6N,165.6W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500818,1800,,HU,22.5N,166.5W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500819,0000,,HU,22.5N,167.4W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500819,0600,,HU,22.6N,168.7W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500819,1200,,HU,22.7N,169.7W,75,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500819,1800,,TS,23.2N,170.4W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500820,0000,,TS,23.6N,171.5W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500820,0600,,TS,24.1N,172.4W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500820,1200,,TS,24.7N,173.7W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500820,1800,,TS,25.3N,174.3W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500821,0000,,TS,26.0N,175.7W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500821,0600,,TS,26.7N,176.9W,45,,,,,,,,,,,,,,
CP,HIKI,1950,01,39,19500821,1200,,TD,27.4N,178.0W,25,,,,,,,,,,,,,,
EP,UNNAMED,1950,04,5,19500812,1200,,TS,17.5N,116.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1950,04,5,19500812,1800,,TS,17.7N,116.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1950,04,5,19500813,0000,,TD,18.0N,117.1W,25,,,,,,,,,,,,,,
EP,UNNAMED,1950,04,5,19500813,0600,,TD,18.4N,117.7W,25,,,,,,,,,,,,,,
EP,UNNAMED,1950,04,5,19500813,1200,,TD,18.8N,118.7W,25,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500826,1200,,HU,17.3N,131.5W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500826,1800,,HU,17.7N,132.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500827,0000,,HU,17.9N,133.2W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500827,0600,,HU,17.9N,133.8W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500827,1200,,HU,18.0N,134.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500827,1800,,HU,18.1N,135.1W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500828,0000,,HU,18.3N,135.8W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500828,0600,,HU,18.5N,136.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500828,1200,,HU,18.6N,137.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500828,1800,,HU,18.7N,137.5W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500829,0000,,HU,18.8N,138.1W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500829,0600,,HU,18.9N,138.8W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500829,1200,,HU,19.0N,139.6W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500829,1800,,HU,19.1N,140.3W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500830,0000,,HU,19.3N,141.1W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500830,0600,,HU,19.5N,142.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,05,17,19500830,1200,,HU,19.7N,143.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,06,9,19501001,1200,,HU,14.0N,108.7W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,06,9,19501001,1800,,HU,14.7N,109.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,06,9,19501002,0000,,HU,15.2N,109.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,06,9,19501002,0600,,HU,15.4N,109.7W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,06,9,19501002,1200,,HU,15.6N,110.0W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,06,9,19501002,1800,,HU,15.9N,110.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,06,9,19501003,0000,,HU,16.2N,110.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,06,9,19501003,0600,,HU,16.5N,111.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1950,06,9,19501003,1200,,HU,16.9N,111.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510517,1200,,TS,11.0N,104.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510517,1800,,TS,11.5N,104.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510518,0000,,TS,12.1N,104.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510518,0600,,TS,12.8N,103.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510518,1200,,TS,13.6N,103.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510518,1800,,TS,14.3N,103.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510519,0000,,TS,15.0N,103.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510519,0600,,TS,15.5N,103.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510519,1200,,TS,15.9N,103.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510519,1800,,TS,16.4N,102.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510520,0000,,TS,16.9N,102.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510520,0600,,TS,17.4N,102.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510520,1200,,TS,17.8N,102.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510520,1800,,TS,18.1N,102.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,01,15,19510521,0000,,TS,18.3N,101.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,02,5,19510601,0000,,HU,13.8N,95.7W,75,,,,,,,,,,,,,,
EP,UNNAMED,1951,02,5,19510601,0600,,HU,14.7N,97.4W,75,,,,,,,,,,,,,,
EP,UNNAMED,1951,02,5,19510601,1200,,HU,15.6N,98.8W,75,,,,,,,,,,,,,,
EP,UNNAMED,1951,02,5,19510601,1800,,HU,16.7N,99.9W,75,,,,,,,,,,,,,,
EP,UNNAMED,1951,02,5,19510602,0000,,HU,17.8N,100.5W,75,,,,,,,,,,,,,,
EP,UNNAMED,1951,03,5,19510626,1200,,TS,16.7N,100.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,03,5,19510626,1800,,TS,16.9N,101.5W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,03,5,19510627,0000,,TS,17.0N,102.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,03,5,19510627,0600,,TS,17.1N,103.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,03,5,19510627,1200,,TS,17.2N,103.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,04,5,19510705,1200,,TS,16.7N,104.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,04,5,19510705,1800,,TS,17.2N,105.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,04,5,19510706,0000,,TS,17.8N,105.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,04,5,19510706,0600,,TS,18.4N,106.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,04,5,19510706,1200,,TS,19.0N,106.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510803,1200,,TS,10.6N,94.5W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510803,1800,,TS,11.0N,95.4W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510804,0000,,TS,11.5N,96.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510804,0600,,TS,11.9N,96.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510804,1200,,TS,12.3N,97.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510804,1800,,TS,12.5N,98.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510805,0000,,TS,12.7N,100.1W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510805,0600,,TS,12.9N,101.9W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510805,1200,,TS,13.4N,103.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510805,1800,,TS,14.2N,105.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510806,0000,,TS,15.1N,107.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510806,0600,,TS,16.0N,108.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510806,1200,,TS,16.9N,110.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510806,1800,,TS,17.3N,111.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510807,0000,,TS,17.5N,112.2W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510807,0600,,TS,17.5N,113.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510807,1200,,TS,17.5N,115.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510807,1800,,TS,17.7N,116.6W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510808,0000,,TS,18.0N,117.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510808,0600,,TS,18.2N,118.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510808,1200,,TS,18.4N,119.7W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510808,1800,,TS,18.6N,121.0W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510809,0000,,TS,18.8N,122.3W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510809,0600,,TS,19.1N,123.5W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510809,1200,,TS,19.4N,124.8W,45,,,,,,,,,,,,,,
EP,UNNAMED,1951,05,29,19510809,1800,,TS,19.5N,125.8W,45,,,,,,,,,,,,,,
